Date,Close
10/8/2018,215.15
10/5/2018,209.2
10/4/2018,218.2
10/3/2018,227.6
10/1/2018,230.9
9/28/2018,233.75
9/27/2018,233.25
9/26/2018,234.25
9/25/2018,236.1
9/24/2018,233.3
9/21/2018,234.6
9/19/2018,234.9
9/18/2018,235.05
9/17/2018,236.6
9/14/2018,233.95
9/12/2018,222.65
9/11/2018,216
9/10/2018,222
9/7/2018,222.95
9/6/2018,221.05
9/5/2018,222.4
9/4/2018,223.7
9/3/2018,236.7
8/31/2018,234.3
8/30/2018,236
8/29/2018,234.55
8/28/2018,233.35
8/27/2018,237.05
8/24/2018,231
8/23/2018,235.45
8/21/2018,240.55
8/20/2018,245.15
8/17/2018,243
8/16/2018,239.35
8/14/2018,237.55
8/13/2018,234.55
8/10/2018,233.55
8/9/2018,237.3
8/8/2018,236.35
8/7/2018,237.6
8/6/2018,239.5
8/3/2018,234.65
8/2/2018,235.45
8/1/2018,235.65
7/31/2018,246.9
7/30/2018,242.2
7/27/2018,242.25
7/26/2018,239.1
7/25/2018,236.9
7/24/2018,246.3
7/23/2018,243.3
7/20/2018,238.6
7/19/2018,233.1
7/18/2018,238.65
7/17/2018,247.9
7/16/2018,243.25
7/13/2018,258.9
7/12/2018,265.2
7/11/2018,269.8
7/10/2018,274.75
7/9/2018,275.25
7/6/2018,266.3
7/5/2018,271.25
7/4/2018,277.3
7/3/2018,281
7/2/2018,264.45
6/29/2018,269.35
6/28/2018,263.95
6/27/2018,265.6
6/26/2018,267.35
6/25/2018,264.5
6/22/2018,262.1
6/21/2018,258.2
6/20/2018,260.85
6/19/2018,267.05
6/18/2018,275.35
6/15/2018,272.15
6/14/2018,277.8
6/13/2018,269.6
6/12/2018,267.6
6/11/2018,263.7
6/8/2018,266.95
6/7/2018,267.1
6/6/2018,265.75
6/5/2018,263.75
6/4/2018,255.25
6/1/2018,263.25
5/31/2018,269.2
5/30/2018,264.5
5/29/2018,257.5
5/28/2018,260.65
5/25/2018,257.85
5/24/2018,254.5
5/23/2018,250.2
5/22/2018,247.15
5/21/2018,243.55
5/18/2018,244.7
5/17/2018,247.5
5/16/2018,241.1
5/15/2018,242.65
5/14/2018,255.9
5/11/2018,287.5
5/10/2018,285.25
5/9/2018,292
5/8/2018,289.7
5/7/2018,294.2
5/4/2018,287.8
5/3/2018,286.65
5/2/2018,292.75
4/30/2018,297.55
4/27/2018,292.1
4/26/2018,291.2
4/25/2018,289.1
4/24/2018,283.15
4/23/2018,283.6
4/20/2018,286.3
4/19/2018,286.2
4/18/2018,284.1
4/17/2018,280.95
4/16/2018,279.65
4/13/2018,275.5
4/12/2018,273.85
4/11/2018,273.85
4/10/2018,275.5
4/9/2018,277.8
4/6/2018,272.7
4/5/2018,273
4/4/2018,270.25
4/3/2018,274.8
4/2/2018,276.95
3/28/2018,258.75
3/27/2018,263.8
3/26/2018,262.2
3/23/2018,257.9
3/22/2018,258.85
3/21/2018,263.2
3/20/2018,262.05
3/19/2018,260.6
3/16/2018,272.4
3/15/2018,279.6
3/14/2018,278.5
3/13/2018,278.2
3/12/2018,276.05
3/9/2018,268.35
3/8/2018,273.4
3/7/2018,268.9
3/6/2018,274.15
3/5/2018,275.65
3/1/2018,274.85
2/28/2018,275.5
2/27/2018,275
2/26/2018,273.5
